#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
## MODIFIERS - OPINION, CHARACTER, PROVINCE ETC. ##
# OPINION #,,,,,,,,,,
opinion_robmodnorse_oathhonour;Nominated me an Oathsman;Nommé moi un homme assermenté;Nominiert mich ein Eidmann;;Me nominó como juramentador;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_sisterhonour;Nominated me a Sister of Frigg;Nommé moi une soeur de Frigg;Nominiert mich eine Schwester von Frigg;;Me nominó a una Hermana de Frigg;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_disgrace;Failed me in the Trials of Thor;Je me suis échoué dans les procès de Thor;Ich habe mich in den Prüfungen von Thor versagt;;Me falló en los juicios de Thor;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_disgrace_son;Failed me in the Trials of Thor;Je me suis échoué dans les procès de Thor;Ich habe mich in den Prüfungen von Thor versagt;;Me falló en los juicios de Thor;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_attempted_heal;Attempted to heal me;Tentative de me guérir;Versuchte mich zu heilen;;Trató de curarme;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_healed_me;Healed me of an illness;J'ai guéri d'une maladie;Heilte mich von einer Krankheit;;Me curó de una enfermedad;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_forced_potion;Experimented on me!;Expérimenté sur moi!;Erfahren an mir!;;Experimentado en mí!;;;;;;;;;x,,,,,,,,,,
norse_pagan_reformed_opinion;Beyð opinion;Beyð opinion;Beyð Meinung;;Opinión de Beyð;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_taught_me_swordfighting;Taught me swordfighting;M'a appris l'épée;Lehre mich Schwertkampf;;Luchó bien en el Torneo de Campeones;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_tournament_fought_well;Fought well at the Champion's Tournament;Combatté bien au Tournoi des Champions;Im Champions-Turnier gut gekämpft;;Me enseñó a luchar contra la espada;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_tournament_won;Champion: won the Champion's Tournament;Champion: remporte le Tournoi des Champions;Champion: gewann das Champions-Turnier;;Campeón: ganó el Torneo de Campeones;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_godslaws;Wrote the Godslaws;Écrit les lois des Dieux;Schrieb die Gesetze der Götter;;Escribió las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
opinion_robmodnorse_godslaws_hate;Wrote the so-called Godslaws;Écrit les lois des Dieux;Schrieb die Gesetze der Götter;;Escribió las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
# CHARACTER #,,,,,,,,,,
robmodnorse_orderedoathsman;Supporting an Oathseeker;Soutenir un demandeur de serment;Unterstützung eines Eidensuchers;;Apoyando a un buscador de juramento;;;;;;;;;x,,,,,,,,,,
robmodnorse_orderedoathsman_desc;[GetTitledFirstName] has sent an Oathseeker to the Eiðrahöll (Oathshall), and is supporting him in attempting the Þorfreista (Trials of Thor);[GetTitledFirstName] a envoyé un demandeur de serment à l'Eiðrahöll, et le soutient en essayant le Þorfreista (essais de Thor);[GetTitledFirstName] hat einen Eidensucher an die Eiðrahöll geschickt und unterstützt ihn beim Versuch, die Þorfreista (Versuche von Thor);;[GetTitledFirstName] ha enviado un buscador de juramento al Eiðrahöll, y lo está apoyando en el intento de la Þorfreista (pruebas de Thor);;;;;;;;;x,,,,,,,,,,
robmodnorse_orderedfriggsister;Supporting a Friggseeker;Soutenir un chercheur Frigg;Unterstützung eines Frigg-Suchers;;Apoyo a un buscador de Frigg;;;;;;;;;x,,,,,,,,,,
robmodnorse_orderedfriggsister_desc;[GetTitledFirstName] has sent a maid to the Frigghöll (The Hall of Frigg), and is supporting her in learning to become a sister of Frigg;[GetTitledFirstName] a envoyé une femme de chambre au Frigghöll (la salle de Frigg) et la soutient en apprenant à devenir une soeur de Frigg;[GetTitledFirstName] hat eine Magd an die Frigghöll (die Halle von Frigg) geschickt und unterstützt sie dabei, eine Schwester von Frigg zu werden;;[GetTitledFirstName] ha enviado una criada a la Frigghöll (la sala de Frigg), y está apoyándola en el aprendizaje para convertirse en una hermana de Frigg;;;;;;;;;x,,,,,,,,,,
expelled_d_thorshammers;Expelled the Hammers of Thor;Expulsé les marteaux de Thor;Vertrieben die Hämmer von Thor;;Expulsó los martillos de Thor;;;;;;;;;x,,,,,,,,,,
expelled_d_thorshammers_desc;[GetTitledFirstName] expelled the Hammers of Thor from [GerHerHis] realm and claimed all their titles;[GetTitledFirstName] a expulsé les Hammers of Thor du roger [GerHerHis] et a revendiqué tous ses titres;[GetTitledFirstName] vertrieben die Hämmer von Thor aus [GerHerHis] Reich und behaupteten alle ihre Titel;;[GetTitledFirstName] expulsó a los martillos de Thor del reino de [GerHerHis] y reclamó todos sus títulos;;;;;;;;;x,,,,,,,,,,
