#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;;
#family heirlooms





### Sword ###
EVTDESC_familyheirlooms.1;On [FromFrom.GetHersHis] deathbed your [GetFromFromRelation] hands you his favorite arming sword. Once a constant presence on [FromFrom.GetHersHis] hip it now serves as a constant reminder of him ;;;;;;;;;;;;;x
EVTDESC_familyheirlooms.2;On [FromFrom.GetHersHis] deathbed your [GetFromFromRelation] hands you his favorite longsword. Once a constant presence on [FromFrom.GetHersHis] hip it now serves as a constant reminder of him ;;;;;;;;;;;;;x
EVTDESC_familyheirlooms.3;On [FromFrom.GetHersHis] deathbed your [GetFromFromRelation] hands you his favorite sword. Once a constant presence on [FromFrom.GetHersHis] hip it now serves as a constant reminder of him ;;;;;;;;;;;;;x
dynamic_sword_1;sword_tier_1;;;;;;;;;;;;;x
dynamic_sword_1_desc;A common sword worn by many battles with the [Root.GetOnlyDynastyName] family crest on the hilt.;;;;;;;;;;;;;x
dynamic_sword_2;sword_tier_2;;;;;;;;;;;;;x
dynamic_sword_2_desc;A longsword of fine steel with the [Root.GetOnlyDynastyName] family crest on the hilt. A capable sword that has inflicted great damage on its foes.;;;;;;;;;;;;;x
dynamic_sword_3_heartseeker;sword_tier_3_heartseeker;;;;;;;;;;;;;x
dynamic_sword_3_heartseeker_desc;A high quality sword with the [Root.GetOnlyDynastyName] family crest inlaid. Named after its ability to pierce any armor, it is sure to bring enemies to a swift fate.;;;;;;;;;;;;;x
dynamic_sword_3_vengeance;sword_tier_3_vengeance;;;;;;;;;;;;;x
dynamic_sword_3_vengeance_desc;Forged with the finest steel available and inlaid with the [Root.GetOnlyDynastyName] family crest, the sword was named Vengeance, to bring certain doom to any traitor.;;;;;;;;;;;;;x
dynamic_sword_3_fury;sword_tier_3_fury;;;;;;;;;;;;;x
dynamic_sword_3_fury_desc;A great and magnificent sword inlaid with the [Root.GetOnlyDynastyName] family crest and known as Fury. Swift in hand-to-hand combat as well as battle, it is sure to bring victory to the one who wields it.;;;;;;;;;;;;;x

### Scimitar ###
