#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### ORDER OF THE VANIR ###
quest_learn_potion_craft;Learn potioncraft;Apprendre le métier de potion;Lerne Trank Handwerk;;Aprenda el arte de la poción;;;;;;;;x
quest_learn_potion_craft_fallback;Learn potioncraft;Apprendre le métier de potion;Lerne Trank Handwerk;;Aprenda el arte de la poción;;;;;;;;x
quest_learn_potion_craft_desc;The Vinr-efst of $SOCIETY$ would like you to learn how to brew a variety of tinctures, elixirs and potions.;;;;;;;;;;;;x
quest_learn_potion_craft_tooltip;Complete the event chain and send a potion back to the Vinr-efst to receive the Character Modifier 'Potioncrafter'.;;;;;;;;;;;;x
quest_send_friggsister;Nominate a Sister of Frigg;Nommer une soeur de Frigg;Nominieren Sie eine Schwester von Frigg;;Nombra a una Hermana de Frigg;;;;;;;;x
quest_send_friggsister_fallback;Nominate a Sister of Frigg;Nommer une soeur de Frigg;Nominieren Sie eine Schwester von Frigg;;Nombra a una Hermana de Frigg;;;;;;;;x
quest_send_friggsister_desc;The Vinr-efst of $SOCIETY$ would like you to send a maiden from their court to the Trúhölla to train as a Friggssnipt (Sister of Frigg);;;;;;;;;;;;x
quest_send_friggsister_tooltip;§GRight-click§! on an unmarried, unlanded adult female in your court and choose the option §GNominate as Sister of Frigg§!. It may take a while for the nominee to arrive at the Trúhöll;;;;;;;;;;;;x
quest_send_oathsman;Nominate an Oathsman;Nommer un Sergent;Nominiere einen Eidmann;;Nominar a un Juramentado;;;;;;;;x
quest_send_oathsman_fallback;Nominate an Oathsman;Nommer un Sergent;Nominiere einen Eidmann;;Nominar a un Juramentado;;;;;;;;x
quest_send_oathsman_desc;The Vinr-efst of $SOCIETY$ would like you to send a warrior from your court to the Trúhölla to take the Þorfreista (Trials of Thor) and become an Eiðmaðr (Oathsman);;;;;;;;;;;;x
quest_send_oathsman_tooltip;§GRight-click§! on an unmarried, unlanded adult male in your court and choose the option §GOrder to take the Trials of Thor§!. It may take a while for the nominee to arrive at the Trúhöll;;;;;;;;;;;;x
quest_robmod_win_duel;Win a Kappir-Holmgang;Gagnez un Kappir-Holmgang;Gewinne einen Kappir-Holmgang;;Gana un Kapoor-Holmgang;;;;;;;;x
quest_robmod_win_duel_fallback;Win a Kappir-Holmgang;Gagnez un Kappir-Holmgang;Gewinne einen Kappir-Holmgang;;Gana un Kapoor-Holmgang;;;;;;;;x
quest_robmod_win_duel_desc;The Kappi-Efstr has challenged you to win a Kappir-Holmgang (Champions Duel) against another Kappi;Le Kappi-Efstr de $SOCIETY$ a contesté you pour gagner un Kappir-Holmgang (Champions Duel) contre un autre Champion d'Miðgarðr;Die Kappi-Efstr von $SOCIETY$ hat you herausgefordert, einen Kappir-Holmgang (Champions Duel) gegen einen anderen Champion von Miðgarðr zu gewinnen;;El Kappi-Efstr de $SOCIETY$ ha desafiado you a ganar un Kappir-Holmgang (Champions Duel) contra otro Campeón de Miðgarðr;;;;;;;;x
quest_robmod_win_duel_tooltip;§GRight-click§! on a champion and choose the relevant option. (Once you have won, it may take a while for the Grand Champion to respond).;;;;;;;;;;;;x
